0	2010-10-19T23:55:27Z	30.2359091167	-97.7951395833	22847
0	2010-10-19T23:55:27Z	30.2359091167	-87.7951395833	22847
0	2010-10-19T23:55:27Z	20.2359091167	-97.7951395833	22847
0	2010-10-19T23:55:27Z	30.2359091167	-97.7951395833	22847
1	2010-10-18T22:17:43Z	20.2691029532	-97.7493953705	420315
1	2010-10-18T22:17:43Z	20.2691029532	-97.7493953705	420315
1	2010-10-18T22:17:43Z	20.2691029532	-97.7493953705	420315
2	2010-10-17T23:42:03Z	30.2557309927	-97.7633857727	316637
3	2010-10-17T19:26:05Z	30.2634181234	-97.7575966669	16516
4	2010-10-16T18:50:42Z	30.2742918584	-97.7405226231	5535878
5	2010-10-12T23:58:03Z	30.261599404	-97.7585805953	15372
6	2010-10-12T22:02:11Z	30.2679095833	-97.7493124167	21714
